Id,SalePrice
1461,123719.0252312573
1462,157958.44463586042
1463,181601.77513761134
1464,193464.38368559637
1465,197452.34713907016
1466,179378.3002194645
1467,176074.70285527298
1468,173174.83722716704
1469,181169.97077552218
1470,124253.95345185183
1471,197169.97181833297
1472,91281.81517129185
1473,100388.0754296324
1474,149714.7744875809
1475,109913.9519439914
1476,372742.38254658505
1477,251991.96471315098
1478,301876.11770503543
1479,285086.6616243262
1480,537692.4853127507
1481,303355.4784985906
1482,210833.90149826658
1483,178067.22186561328
1484,172273.6149601575
1485,175981.29363578145
1486,191802.07941336292
1487,335217.2374895863
1488,236098.652556296
1489,196254.51449982746
1490,236329.1852650902
1491,196254.51449982746
1492,91509.50193743581
1493,176773.4674008785
1494,297781.05860203056
1495,294615.56530650833
1496,238745.72651018418
1497,185251.47572128745
1498,162000.70879414227
1499,160881.5226864263
1500,156438.4750649492
1501,176418.9811335246
1502,154032.39179760302
1503,289076.79339101876
1504,237087.29162940144
1505,235425.9831791941
1506,175552.6285070819
1507,254978.73143016995
1508,198527.21223781892
1509,163086.979571308
1510,149513.8446765519
1511,158768.2665192604
1512,174527.53371103274
1513,136900.98833894156
1514,157979.7763501901
1515,198886.22696683495
1516,156820.86298347605
1517,154516.04428312712
1518,128053.77898642446
1519,220830.14508693607
1520,139173.3539415744
1521,135714.9130446427
1522,167299.12959075786
1523,114034.02375097746
1524,124222.59446207396
1525,124830.02805508101
1526,126100.81822261239
1527,109964.17046881186
1528,134089.47294989775
1529,148700.64039768913
1530,168488.93036615622
1531,115914.77872945007
1532,101527.43886691643
1533,148494.68541379223
1534,120972.0402885435
1535,148613.73571959886
1536,115045.409287777
1537,74320.24560128391
1538,146841.72225668936
1539,187542.78054286906
1540,107981.93884653982
1541,137220.49829278296
1542,143806.24484232214
1543,198299.78035890515
1544,81151.07631732494
1545,98581.61751046148
1546,123941.28107159265
1547,135831.46549117911
1548,129178.35570733967
1549,116888.97844234908
1550,144455.2827453049
1551,112600.06913442332
1552,127561.25210420122
1553,140980.7250952498
1554,118048.2008921477
1555,170534.84256932404
1556,89464.64156407827
1557,111445.31601881134
1558,98755.1860211532
1559,74983.44216650023
1560,135714.9130446427
1561,130383.3877709254
1562,129178.35570733967
1563,124475.52435706185
1564,165061.04678343947
1565,150321.7877938588
1566,230722.13045882375
1567,84626.56058518065
1568,228218.16504735607
1569,144990.21403162082
1570,140095.56745087646
1571,124368.35932903006
1572,143943.64743458622
1573,229157.21413230844
1574,118015.115876761
1575,209924.26197304603
1576,236288.63484412988
1577,186805.23349342105
1578,143945.81093993096
1579,146448.11590256865
1580,187886.88336789547
1581,140519.348291975
1582,127177.03275182066
1583,335073.7008966802
1584,233768.3565659414
1585,147250.37081054854
1586,75694.07532514671
1587,98956.49443527695
1588,148368.26406520748
1589,99204.13511608649
1590,137309.9346877175
1591,95464.75743183194
1592,122422.31371728043
1593,119344.35598736611
1594,127511.769748566
1595,121058.73154990264
1596,237350.98236067363
1597,176590.34587640525
1598,187338.2833577798
1599,165948.167280118
1600,170031.76551183645
1601,67356.5046587766
1602,119982.1120272184
1603,67832.59271119746
1604,270140.1590540802
1605,240481.88947971797
1606,161431.23279487304
1607,172772.32697592877
1608,214212.1949758684
1609,184285.81654160324
1610,157175.34013055646
1611,143849.73521699285
1612,182835.17493050813
1613,172729.87231229793
1614,119376.23365012313
1615,86493.1146539134
1616,80807.43029377183
1617,85175.99064672763
1618,128240.35942220311
1619,139042.63437491955
1620,167875.6901574004
1621,142945.91249474845
1622,140455.0199986837
1623,275925.68251422985
1624,224428.66339505065
1625,113345.61516594332
1626,165656.67846220543
